Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET / (index),145,145,1,0.7261755812013971,0.45537500409409404,3.4359999699518085,0.0,6.573797496941006,6.573797496941006,1,1,1,1,1,1,1,1,3,3,3
GET,GET /book/<comp>/<club>,72,72,1,0.7513315835644284,0.49041700549423695,3.3006659941747785,0.0,3.2642304812396716,3.2642304812396716,1,1,1,1,1,1,2,3,3,3,3
GET,GET /clubs (scoreboard),141,141,1,0.7146518996995973,0.44679094571620226,1.3447920209728181,0.0,6.392451359094357,6.392451359094357,1,1,1,1,1,1,1,1,1,1,1
POST,POST /purchasePlaces (book),72,72,0.821333029307425,0.5763026387689428,0.42349996510893106,0.821333029307425,0.0,3.2642304812396716,3.2642304812396716,1,1,1,1,1,1,1,1,1,1,1
POST,POST /showSummary (login),62,62,1,0.7128514877084883,0.4902910441160202,1.4940419932827353,0.0,2.810865136623051,2.810865136623051,1,1,1,1,1,1,1,1,1,1,1
,Aggregated,492,492,1,0.702942750767835,0.42349996510893106,3.4359999699518085,0.0,22.305574955137757,22.305574955137757,1,1,1,1,1,1,1,1,3,3,3
